time_steps,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
269,-2,-2,1,-1,2,-22,-1,-1
270,-1,0,-2,2,1,-1,-2,-2
271,-1,-1,0,-6,-2,-4,0,0
272,-1,-1,-2,-3,1,3,0,-1
273,0,0,0,2,0,-8,1,-1
274,-1,-1,-1,0,0,-3,-1,0
275,0,-1,-2,3,3,14,0,-1
276,0,0,-2,-3,-2,-3,-1,-1
277,-1,-2,-3,-3,-4,-8,-2,-2
278,0,0,-1,-1,0,5,2,0
279,-1,-3,-2,0,-5,-7,0,0
280,0,-2,-1,1,2,3,-1,-1
281,-1,-1,0,-1,0,-2,-2,-1
282,-2,-1,0,-2,-4,-10,-1,-2
283,0,0,-1,-1,-2,-4,0,-4
284,-2,0,-1,0,2,8,0,0
285,0,-1,0,0,1,7,0,-1
286,1,-3,0,-3,-4,-8,-2,-1
287,0,-1,-2,-1,2,3,0,0
288,-2,-2,0,0,2,18,-1,-1
289,0,-1,-1,0,-5,-9,0,0
290,-2,-1,-1,-1,1,0,-2,1
291,-1,0,-1,1,-1,-13,-2,1
292,1,-2,-1,-4,-2,-7,1,-2
293,-1,-2,-1,-1,0,8,0,0
294,-1,-1,0,-1,-2,-2,0,-2
295,0,0,0,-2,1,-6,-2,0
296,-1,-1,0,-2,-4,-14,-2,0
297,-2,0,0,-1,0,19,1,0
298,0,-2,-2,-1,0,-6,2,-2
299,-1,-2,-1,-3,-1,-7,-3,-1
300,0,-1,-1,0,1,3,0,1
301,0,0,0,-1,-2,-14,-2,0
302,-2,1,-1,0,-1,9,0,0
303,-2,-1,-2,0,-4,1,-2,-2
304,0,-2,-2,-4,-1,-1,1,-2
305,-1,0,-1,1,-3,1,-1,-2
306,0,-1,1,0,6,2,-1,1
307,0,-1,-1,-1,0,3,-1,-2
308,0,1,1,1,-1,5,-1,0
309,0,1,0,0,-1,-18,-1,0
310,0,-3,-2,-1,-1,13,0,1
311,1,0,-1,2,-1,-2,2,-1
312,0,0,-1,-1,0,-5,-1,-1
313,1,-1,-2,-2,-1,-5,-2,-1
314,0,-1,0,-1,-2,-8,-1,-3
315,0,-3,0,-2,1,20,0,1
316,-2,-1,-3,-1,-3,-4,-1,-2
317,-2,-2,-3,-1,0,6,-1,0
318,-1,0,-1,-1,-1,-11,-1,-1
319,-1,1,0,1,-2,6,-2,-2
320,0,-2,2,1,-1,-6,0,-2
321,-2,-1,-2,-3,-1,4,-2,1
322,-1,-1,-2,-3,-5,-18,-1,-2
323,-2,-1,0,-1,1,2,0,0
324,-1,-2,1,2,0,11,0,-2
325,-1,-1,-1,-2,3,-1,-1,-3
326,-2,-1,0,0,0,9,-1,-2
327,-2,0,-1,0,-4,-21,-1,-1
328,0,-1,-2,-5,-2,-4,-2,1
329,0,-2,0,0,1,13,1,0
330,1,0,-1,0,-2,2,-1,-1
331,0,-2,-2,1,0,-2,0,-2
332,-3,-3,-3,-2,-3,-19,-1,-2
333,-2,-1,-2,-2,-2,3,-1,1
334,-3,-1,-1,-1,0,1,-1,1
335,0,0,0,0,0,-6,0,0
336,-1,-1,-1,0,0,6,-2,-1
337,0,0,0,-2,-3,-6,-1,-2
338,-1,-3,-2,-1,-2,0,-3,-1
339,0,-1,-2,-3,-1,-1,-1,0
340,-1,-1,-1,1,0,3,2,1
341,0,0,2,1,1,3,0,-1
342,-1,0,-1,-3,-1,-4,0,-3
343,0,-2,-1,-2,1,20,0,-2
344,0,0,-4,-2,0,-6,-2,-1
345,0,1,-2,0,-2,-5,-1,0
346,-1,-1,2,-2,-3,-7,1,-1
347,-1,0,1,0,4,12,2,-1
348,1,0,0,1,-3,0,-2,-1
349,-2,-3,-2,-2,0,1,-2,-1
350,0,-1,-1,-1,-2,-6,-1,-2
351,0,0,-2,-1,0,-9,-2,0
352,-1,0,0,0,0,0,1,-1
353,-1,-2,-2,0,-2,-14,-1,-2
354,0,-1,0,-1,-1,-3,0,0
355,-1,-1,0,0,1,13,0,0
356,-3,-1,-1,-1,-1,-1,-1,0
357,-2,-3,-2,-1,-1,-6,-3,-2
358,-1,-2,-2,-1,0,3,-1,-1
359,0,-1,-2,-1,2,-14,-1,0
360,-1,0,1,-2,-1,8,-1,0
361,0,0,-1,-1,1,1,1,0
362,-1,-1,1,1,0,10,-2,0
363,0,-2,-3,-2,-3,-15,-2,0
364,0,-1,1,-3,-1,1,1,-3
365,-1,-2,-1,0,-4,-14,-1,-2
366,-1,-1,-1,1,3,-2,-1,0
367,-1,-1,-1,-2,0,8,-1,0
368,-2,0,-1,-1,0,-1,-2,-1
369,0,0,-1,-2,0,3,0,-1
370,-1,-2,-1,-1,-3,-4,-1,-2
371,-1,-1,-1,-2,-5,-12,-1,-2
372,0,-2,-2,1,0,3,-1,-1
373,-1,-1,0,-2,-1,-10,-1,-1
374,-2,0,-3,0,1,5,-1,0
375,-2,-2,-2,-1,-3,-1,-1,-2
376,-1,-2,-2,0,2,-3,-1,0
377,-1,0,0,-1,-3,3,-1,1
378,0,-1,0,-2,2,10,3,-1
379,-1,0,-2,-1,-3,-2,0,-3
380,-1,-2,-2,-3,0,-7,0,2
381,0,-2,0,2,0,-5,-2,-3
382,0,-1,-1,-1,-2,4,-2,0
383,2,-2,-1,-3,-1,2,0,0
384,0,0,-1,1,-1,-4,-1,-2
385,-1,-1,0,-1,2,-2,-1,1
386,0,0,-1,0,-2,-10,-1,-1
387,-2,-1,-1,-3,-5,-16,-1,-2
388,-1,-1,-1,-1,1,20,1,0
389,-1,-1,1,0,0,3,1,-1
390,1,0,-1,-3,1,-2,0,-1
391,-1,0,0,0,-3,-8,-2,0
392,-2,-5,-3,1,-2,-4,0,-3
393,0,-1,0,1,4,31,0,0
394,-1,-2,-1,-1,-1,0,-1,-1
395,-3,-1,-1,-2,-2,-1,0,-2
396,-1,0,-1,2,-6,-25,-2,-2
397,-2,-2,-3,-7,-3,-9,-3,-1
398,1,0,-3,-1,1,17,-2,-1
399,-1,-2,0,0,3,-1,-1,0
400,-1,1,-1,-1,-1,4,-2,-2
401,0,-1,-1,-1,-2,-2,-1,-2
402,-1,0,1,0,-4,-10,-2,-2
403,-1,-3,0,-2,2,22,0,-1
404,-1,-2,-2,-1,1,7,-1,-3
405,-1,-2,-2,-1,-1,-7,1,0
406,-1,-2,-2,-2,-4,-19,-2,-2
407,1,-1,2,4,7,28,3,0
408,-1,1,-2,0,-1,1,-3,-1
409,1,2,-1,0,-1,3,-1,0
410,-1,-1,-3,-1,-2,-14,0,0
411,-1,-3,-2,0,0,0,-2,-2
412,1,-2,-2,-4,1,1,0,2
413,0,1,-1,1,-3,-9,-1,-2
414,0,-1,1,1,-1,4,0,-1
415,0,0,0,-3,-1,-9,0,-2
416,-1,-2,-2,-1,-3,-7,-1,-1
417,-1,-1,-1,1,0,-3,-2,-1
418,0,0,-1,-2,2,-3,-1,0
419,-1,-1,-2,-2,-2,18,0,1
420,0,1,1,1,1,-3,1,-2
421,-1,0,-1,1,-3,-15,0,-1
422,-2,0,-2,-4,-1,22,2,-1
423,-1,-2,-2,-1,-3,-19,-3,0
424,-1,0,-2,-1,0,-1,0,-1
425,-1,-2,-2,1,1,2,-1,-1
426,-1,-1,-1,0,0,1,-2,0
427,-1,0,2,0,-4,-12,-2,-1
428,0,-1,3,0,-5,-6,-2,-1
429,-1,-2,-1,-3,2,25,-1,-2
430,0,-3,-1,0,1,-6,2,-1
431,-1,-1,-4,-2,-3,-16,-2,-2
432,-1,-2,-2,0,-2,7,0,-3
433,-1,-1,0,-4,0,6,-1,-1
434,0,0,0,1,-4,0,-1,-1
435,2,-2,-2,-1,-1,-10,0,-1
436,-3,0,-2,-1,-1,-9,-1,-1
437,0,-1,0,0,2,-2,-1,0
438,0,-1,-2,1,1,-1,-1,-1
439,-2,1,0,2,-1,-5,-2,1
440,0,-1,0,-4,-1,6,0,-1
441,-1,-2,-3,-3,0,-1,2,0
442,-1,0,-1,0,-2,3,0,0
443,0,-1,-2,1,-2,-6,2,-1
444,-2,1,0,-1,3,4,0,0
445,-3,-2,1,0,-2,10,1,0
446,-2,-2,-2,-2,-3,-10,-3,-1
447,-1,1,0,2,3,4,0,-1
448,0,-1,-1,-3,-1,-5,-2,0
449,-1,0,-2,-2,-4,-12,-2,-1
450,-1,-2,-1,0,-2,4,0,-2
451,0,-2,-1,-1,-3,-4,-1,-3
